Index,Organization Name,URL,Description
253,Legal Follies (Graduate) - 43325,https://bu.campuslabs.com/engage/organization/legal-follies-graduate-43325,"Legal Follies is a sketch comedy group that has made its home at BU Law. Entirely student-written, produced and directed, our annual show is a tradition that has been a highlight of the academic year for decades. In addition to a hilarious cast of acto..."
254,Let's Talk About It,https://bu.campuslabs.com/engage/organization/letstalkaboutit,"With a focus on mindfulness, wellness, and self-care, our club is a safe place for students to have formal and informal conversations about stigmatized topics while providing healthy coping strategies for those struggling with their mental health."
255,Linguistics Association,https://bu.campuslabs.com/engage/organization/linguistics-association,The Boston University Linguistics Association serves to bring people interested in language and linguistics together in an educational and social environment through organized activities. Join our Discord (https://discord.gg/CvZAF9tfEb) for more info!
256,Liquid Fun,https://bu.campuslabs.com/engage/organization/liquid-fun,"Liquid Fun is BU's premier improv comedy troupe. We perform both long and short form improv and host free shows once a month on campus. We also host open practices every Sunday, where anyone and everyone - regardless of experience - is welcome!"
257,LOCK Honorary Service Society,https://bu.campuslabs.com/engage/organization/questrom-lock,LOCK members aim to provide their peers in Boston University with tutoring help in almost all required Questrom courses. LOCK also aspires to foster a sense of community service through volunteering events in Boston.
258,Lower Bay State Road Hall Council,https://bu.campuslabs.com/engage/organization/lower-bay-state,"Hall Council for Danielsen, Myles Standish, Kilachand, and related Brownstones"
259,Mahjong Club,https://bu.campuslabs.com/engage/organization/mahjong-club,"BUMJC provides the opportunity to learn and play Mahjong, the most popular game in Asia. We hope to spread appreciation of the culture and traditions behind Mahjong and have a community for Mahjong players of all skill levels."
260,Malaysian Cultural Association,https://bu.campuslabs.com/engage/organization/malaysian-cultural-association,"Malaysian Cultural Association has a two-pronged approach with community outreach, which is to act as a support system for Malaysian students at Boston University and to introduce and teach about Malaysian culture to the student community."
261,Marine Science Association,https://bu.campuslabs.com/engage/organization/marine-science-association,"The Boston University Marine Science Association is a student group committed to learning about different marine science related topics by going on field trips, lectures, and exchanging information about personal marine-related experiences."
262,Marketing Club,https://bu.campuslabs.com/engage/organization/bumkc,"Boston University Marketing Club is committed to providing an opportunity for the BU community to explore all facets of marketing. Our members are driven to explore, diversify their knowledge, and grow within our four committees."
263,Mars Rover Club,https://bu.campuslabs.com/engage/organization/bumarsrover,"The Boston University Mars Rover Club (BUMRC) is developing the next best competition-ready Mars rover capable of traversing rough terrain, interacting with its environment, and analyzing samples for signs of life."
264,Mathematics Association at BU,https://bu.campuslabs.com/engage/organization/bumaa,"Mathematics Association at BU aims to create a close-knit community among all students interested in mathematics, statistics, and mathematical sciences."
265,Medical Ethics Society,https://bu.campuslabs.com/engage/organization/medical-ethics-society,The BU Medical Ethics Society is an organization for undergraduates who express interest in the healthcare field and ethics associated with it.
266,Mexican Students Association,https://bu.campuslabs.com/engage/organization/mexican-students-association,"Boston University enjoys a diverse and dynamic community of international students. For many years, students coming from Mexico have been an important part of that community. Mexican Students @ Boston University targets these students"
267,MicroFinance Initiative,https://bu.campuslabs.com/engage/organization/microfinance,"BUMI strives to empower emerging entrepreneurs in the developing world with the goal of funding ventures that address social, economic, and political issues. Students are offered the opportunity to apply their knowledge to make a real world impact."
268,Migration Tales,https://bu.campuslabs.com/engage/organization/migrationtales,"Migration Tales is a multi-media platform that aims to amplify Migrant and first-generation American voices through storytelling, one story at a time."
269,Mind and Brain Society,https://bu.campuslabs.com/engage/organization/mind-and-brain-society,"MBS aims to inspire people of all academic disciplines to engage in conversations about humanity by using neuroscience as common ground. We host lectures, student-led discussions, social events, and volunteer opportunities throughout the year."
270,Minority Association of Pre-Medical/Health Students,https://bu.campuslabs.com/engage/organization/minority-association-of-pre-med-health-students,"BU MAPS aims to support, encourage, and prepare Minority Pre-health students to be competitive applicants for health professional schools through professional development, career exploration panels, clinical/volunteering experience, and mentorship."
271,Mixed Student Union,https://bu.campuslabs.com/engage/organization/mixedstudentunion,Mixed Student Union was founded with the intention of creating a community for those who feel disconnected from their heritage and/or culture. Our goal is for us to find others who might share our experiences and offer a safe place to exchange them.
272,miXx K-Pop Cover Dance Crew,https://bu.campuslabs.com/engage/organization/mixx-k-pop-cover-dance-crew,"The word ""miXx"" is a stylized version of the word ""mix,"" where we aim to mix together people of different cultures and backgrounds to create one group filled with people who love and appreciate K-Pop. The large ""X"" stands for ""cross-cultural communicat..."
273,Mock Mediation Organization,https://bu.campuslabs.com/engage/organization/mock-mediation-organization,"BU Mock Mediation provides hands-on opportunity for individuals to learn about conflict resolution, negotiation, and the law. We practice techniques and skills for the mediation of civil disputes and apply them at organized competitions around the world."
274,Mock Trial Organization,https://bu.campuslabs.com/engage/organization/mto,The Boston University Mock Trial Organization is a student-run organization focused on competing as attorneys and witnesses in criminal and civil court cases. We are a member of AMTA and have a long history of competing at the national level.
275,Moot Court Organization,https://bu.campuslabs.com/engage/organization/bumco,"The Moot Court team's purpose is to educate undergraduate students about the American legal system, American jurisprudence, and the work of American attorneys, as well as to compete and aspire to win at the highest level of competition attainable."
276,Music Business Club,https://bu.campuslabs.com/engage/organization/music-business-club,"The BU Music Business Club exposes students to the ins and outs of the music industry. MBC teaches students professional industry skills and they have partnerships with Channel Sounds, Universal Music Group's °1824, and The Bowery Presents."
277,Mustard Seed,https://bu.campuslabs.com/engage/organization/mustard-seed,"Matthew 17:20 says that faith as small as a mustard seed can move mountains. As a collegiate a cappella group, we strive to move mountains in people's hearts. We hope to inspire our audiences at BU and in the local Boston area through story and song."
278,National Society of Black Engineers,https://bu.campuslabs.com/engage/organization/national-society-of-black-engineers,"The National Society of Black Engineers aims to maintain the mission ""to increase the number of culturally responsible Black engineers who excel academically, succeed professionally and positively impact the community."""
279,National Society of Black Women in Medicine,https://bu.campuslabs.com/engage/organization/blackwomeninmedicine,NSBWM strives to create a safe community space for individuals passionate about advancing black women in all stages of their medical journey. Our goal is to foster relationships by providing networking opportunities and support for young women.
280,National Student Speech Language Hearing Association,https://bu.campuslabs.com/engage/organization/nationalstudentspeechlanguagehearingassociation,"NSSLHA (we pronounce it ""NISS-LA"") is the student branch of the American Speech Language and Hearing Association (ASHA). To join the national organization, email Doctor Jennifer Bentley at bentley1@bu.edu and she will forward your information to t..."
281,Naturally,https://bu.campuslabs.com/engage/organization/bu-naturally,"The Boston University Chapter of BU Naturally founded April 29th, 2019. We are natural hair based organization were we promote diversity, inclusivity, and love of all natural hair types on campus and in the community."
282,Navigators Christian Fellowship,https://bu.campuslabs.com/engage/organization/navigators-christian-fellowship,"The Navigators at Boston University is a community of students and friends who want to know God and Jesus Christ, and who want to love and encourage each other while walking through life together in Boston. There are no prerequisites or specific affili..."
283,Nigerian Students Association,https://bu.campuslabs.com/engage/organization/bu-nigerian-students-association,The Nigerian Students Association of Boston University is committed to fostering a community of Nigerian students on campus. The goal for BU NSA is to create a safe environment for students to share their love and appreciation for Nigerian culture.
284,NMDP,https://bu.campuslabs.com/engage/organization/nmdp,"We are an organization at Boston University (BU) partnering with the world's largest blood stem cell donor registry, NMDP, which provides lifesaving transplants for patients with blood cancers. Our mission is to diversify and expand the NMDP registry"
285,North African Student Organization,https://bu.campuslabs.com/engage/organization/nasoatbostonu,"NASO at BU will continue on its quest to support & empower the currently underserved community of North African undergrads. Through cultural nights, alumni panels, networking fairs, and athletic events, NASO will be an active force of support and unity."
286,Nutrition and Dietetics Club,https://bu.campuslabs.com/engage/organization/nutrition-and-dietetics-club,"Whether you are a nutrition student or someone who just enjoys food, the Boston University Nutrition & Wellness Club is an organization that can offer a community of students who share your interests. At our general meetings, we cover different topics ..."
287,Off The Cuff Magazine,https://bu.campuslabs.com/engage/organization/off-the-cuff-magazine,"Off The Cuff is Boston University's only award-winning fashion, arts, and culture publication."
288,Off The Hook,https://bu.campuslabs.com/engage/organization/offthehook,“Off The Hook” is a community initiative that aims to provide a realistic and relaxing way for college students to give back to the community whilst also learning a new hobby.
289,Omega Phi Alpha,https://bu.campuslabs.com/engage/organization/omega-phi-alpha,"Omega Phi Alpha, Boston University's only community service sorority, is focused on our principles of friendship, leadership, and service."
290,On Broadway,https://bu.campuslabs.com/engage/organization/on-broadway,"Boston University On Broadway (OB) is BU's premiere musical theatre organization, dedicated to bringing quality musical productions and theater-related events to the Boston University community. Founded in 1994, OB has become a fixture of artistic life.."
291,On Tap,https://bu.campuslabs.com/engage/organization/on-tap,"Boston University's only tap dancing group! We are a student run, student choreographed performing group that rehearses twice a week. We perform in numerous dance shows on campus, as well as our own show at the end of the year."
292,One Love Foundation,https://bu.campuslabs.com/engage/organization/onelovebu,"The goal of One Love Club @ BU is to educate all of the student body about healthy relationships, what the signs of healthy and unhealthy relationships are, and how to navigate both romantic and platonic relationships."
293,One Voice,https://bu.campuslabs.com/engage/organization/one-voice,"One Voice is Boston University's multicultural, multi-genre a cappella group, originally founded as Kol Echad in 1995."
294,Ophthalmology/Optometry Society,https://bu.campuslabs.com/engage/organization/buos,"Our club’s goals are centered around widening optometry/ophthalmology fields, exploring general practices, research, and shadowing opportunities."
295,Oral Health Advocacy-BU,https://bu.campuslabs.com/engage/organization/oha-bu,"OHA-BU is an organization dedicated to spreading awareness about the importance of oral health through educating, volunteering, and fundraising for the BU community, local Boston area, and global organizations."
296,Organization of Pakistani Students,https://bu.campuslabs.com/engage/organization/organization-of-pakistani-students,"The Boston University Organization of Pakistani Students is a student group seeking to celebrate and share our interest in the cultural, political, and social fabric of Pakistan and its South and Central Asian neighbors.The club was founded in the fall..."
297,Outing Club,https://bu.campuslabs.com/engage/organization/outing-club,"The Outing Club strives to bring the joy of the great outdoors to the BU community. From urban explorations to trekking the White Mountains, we're 100% driven by the desire to take adventures beyond the BU campus. Check out linktr.ee/buoutingclub"
298,Overarching Executive Council,https://bu.campuslabs.com/engage/organization/overarching-executive-council,"The OEC oversees all 12 individual Residence Hall Associations on campus to facilitate community engagement, participation and initiating greater conversation across Residence Life."
299,Palaeontology Club,https://bu.campuslabs.com/engage/organization/bupc,"A club dedicated to palaeontology which will meet once every two weeks to discuss prehistoric flora and fauna. Additionally, we may also go on club trips to local museums. Also, we will try to find guest speakers."
300,Panhellenic Council,https://bu.campuslabs.com/engage/organization/panhellenic-council,"The Boston University Panhellenic Council is the governing body for the ten sororities chartered on campus. With the help of one delegate from each sorority, Panhel helps to regulate Greek Life and maintain its growth on campus."
301,PERIOD.,https://bu.campuslabs.com/engage/organization/period,"PERIOD. is a youth-fueled nonprofit that strives to eradicate period poverty and stigma through service, education, and advocacy with the distribution of menstrual products, promotion of youth leadership, and championing of menstrual equity in policy."
302,Persian Students Association,https://bu.campuslabs.com/engage/organization/iranian-students-association,Persian Student Association (PSA) is a cultural club focusing on Iranian culture and practices. We are determined to create a community of students who are interested in the Iranian culture whether they come from Iranian descent or not. Our goal is to
303,Phi Alpha Delta,https://bu.campuslabs.com/engage/organization/pad,"Phi Alpha Delta’s Pre-Law Program assists undergraduate students in making an informed decision about pursuing a legal career, deciding which law school to attend, and preparing for the rigors of law school."
304,Phi Chi Theta Business Fraternity,https://bu.campuslabs.com/engage/organization/phi-chi-theta-business-fraternity,"Phi Chi Theta Zeta Chapter is a professional co-ed business and technology fraternity for all majors and minors at Boston University. Originally established in the 1920s, the Zeta chapter was one of the eight original founding national chapters of PCT."
305,Phi Gamma Nu,https://bu.campuslabs.com/engage/organization/pgnleaders,"PGN is a national business fraternity promoting diversity, equity, and entrepreneurial spirit, and integrity. Our goal is to foster professional development and provide a supportive community for young, motivated individuals preparing for future career."
306,Phi Kappa Tau,https://bu.campuslabs.com/engage/organization/pktbu,"Phi Kappa Tau (Phi Tau), a national organization with over 97,000 brothers, has worked to instilled leadership in its members since 1906. Simply put, Phi Tau develops men of character into men of distinction."
307,"Philosophy, Politics & Economics Society",https://bu.campuslabs.com/engage/organization/philosophy-politics-economics-society,"A space and community for students to freely express their opinions on any topics concerning Politics, Philosophy, and Economics."
308,Photography Club,https://bu.campuslabs.com/engage/organization/photography-club,The Boston University Photography Club started in 1997 as a group of amateur photographers who wanted to share their ideas about their art with others who shared their passion. The BU Photo Club hosts a large variety of events for its members such as p...
309,Physical Therapy Association (Graduate) - 32375,https://bu.campuslabs.com/engage/organization/physical-therapy-association-graduate-32375,"BUPTA is an organization that consists of all students involved in the Doctor of Physical Therapy program here at Boston University. We organize social events for the PT students, get involved in the local community, and raise money for the nationwide ..."
310,Pi Kappa Alpha,https://bu.campuslabs.com/engage/organization/pi-kappa-alpha,"The Lambda Nu Chapter was colonized in late November of 2004. The group was made up of a diverse group of approximately 30 men with a lofty set of goals to meet in order to be chartered. Over the next year and a half, the colony, under the leadership ..."
311,Pioneer Impact Consulting,https://bu.campuslabs.com/engage/organization/pic,"Pioneer Impact Consulting provides students a chance to consult on projects with a variety of businesses for social impact - providing skill support and powerful insights into various dimensions of the client's businesses, whilst gaining experience"
312,PMReady,https://bu.campuslabs.com/engage/organization/pmready,PMReady provides students a hands-on product management experience through developmental workshops and speaker events. Students will learn about product management and create a product prototype by the end of the semester.
313,Pre Dental Society,https://bu.campuslabs.com/engage/organization/pre-dental-society,"The BU Pre-Dental Society serves students who are interested in dentistry by providing guidance, volunteering, and application preparation resources. Please join our email list and visit our Engage and social media pages!"
314,Pre-Health Professionals Club,https://bu.campuslabs.com/engage/organization/phpc,"PHPC is a Pre-Health Professional organization striving toward “helping people, together."" Members dedicate their lives to the service of others philanthropically and through community service, while always upholding academic excellence and integrity."
315,Pre-Law Review,https://bu.campuslabs.com/engage/organization/pre-law-review,"The Boston University Pre-Law Review is a student-run law journal, open to all Boston University undergraduates. Founded in 1991, the Pre-Law Review has continued to foster awareness and provide commentary on major issues facing the law and the legal ..."
316,Pre-Law Society,https://bu.campuslabs.com/engage/organization/pre-law-society,"The BU Pre-Law Society offers a myriad of events for undergraduates who are planning to apply to law school or may be interested in a legal career. Some of our events include hosting visiting law schools, LSAT practice exams and strategy sessions, pane..."
317,Pre-Medical Society,https://bu.campuslabs.com/engage/organization/premedical-society,"The Pre-Medical Society supports aspiring physicians throughout their undergraduate careers by providing resources and opportunities. We strive to create an inclusive environment and provide mentorship, hands-on events, and guest speakers."
318,Pre-Physician Assistant Club,https://bu.campuslabs.com/engage/organization/pre-physician-assistant-club,The Boston University Pre-Physician Assistant Club is a unique undergraduate student group that focuses on providing students with opportunities to gain knowledge and experiences in the medical field through community service and by shadowing PAs.
319,Pre-Veterinary and Animal Lovers Society,https://bu.campuslabs.com/engage/organization/pre-veterinary-and-animal-lovers-society,"This club has dual functions as a space for pre-veterinary students to learn about vet schools and jobs, and for animal lovers to meet people with similar interests. We hold vet school info sessions, volunteering meetings, and social events."
320,Pride in Business,https://bu.campuslabs.com/engage/organization/pride-in-business,Pride in Business is a premier business club dedicated to the support and professional development of LGBTQ+ business leaders of all majors.
321,Prison Outreach Initiative at BU,https://bu.campuslabs.com/engage/organization/prisonoutreachinitiative,"POI's mission is to serve and advocate for incarcerated individuals, both locally and throughout the US. We will do so by volunteering with and fundraising for incarcerated communities, as well as by educating fellow students about prison reform."
322,Project Sunshine,https://bu.campuslabs.com/engage/organization/project-sunshine,"Project Sunshine is a nonprofit organization that provides free educational, recreational, and social programs to children facing medical challenges as well as their families."
323,Psi Chi,https://bu.campuslabs.com/engage/organization/psi-chi,"Psi Chi is the National Honor Society in Psychology, founded in 1929 for the purposes of encouraging, stimulating, and maintaining excellence in scholarship, and advancing the science of psychology. The Boston University Chapter of Psi Chi, the Interna..."
324,Public Relations Student Society of America,https://bu.campuslabs.com/engage/organization/public-relations-student-society-of-america,The Public Relations Student Society of America (PRSSA) is the foremost organization for students interested in public relations and communications. We seek to advance the public relations profession by nurturing generations of future professionals.
325,Puerto Rican Student Association,https://bu.campuslabs.com/engage/organization/puerto-rican-student-association,"The Puerto Rican Student Association welcomes every Boston University student interested in getting involved with the Puerto Rican culture. Our mission is to foster a sense of community among students at BU who grew up with Puerto Rican heritage, wheth..."
326,Qazaq Student Association,https://bu.campuslabs.com/engage/organization/kazakh-student-union,"We're dedicated to fostering awareness, appreciation, and inclusivity within Boston's Kazakhstani community. Through diverse events and celebrations, we aim to create a safe space for cultural exchange among students and to organize beneficial events!"
327,Queer Activist Collective,https://bu.campuslabs.com/engage/organization/queeractivistcollective,"The Queer Activist Collective (""Q"") is Boston University's largest LGBTQ+ student organization dedicated to ensuring the awareness, visibility, & full inclusion of the LGBTQ+ community."
328,Questrom Student Government,https://bu.campuslabs.com/engage/organization/questromgov,Questrom Student Government's mission is to enhance the undergraduate student experience in the Questrom School of Business to ensure that we are creating an inclusive environment that enhances our undergraduate community and student life.
329,Quiz Bowl Club,https://bu.campuslabs.com/engage/organization/bu-quiz-bowl,"The BU Quiz Bowl club is a student organization where people who are interested in academic trivia can come together to discuss their favorite topics, practice, and prepare for team based tournaments."
330,Real Estate Club,https://bu.campuslabs.com/engage/organization/burec,The Boston University Undergraduate Real Estate Club strives to educate the Questrom School of Business and greater Boston University undergraduate community about the real estate industry by creating opportunities for learning and professional network.
331,Recreational Tennis Club,https://bu.campuslabs.com/engage/organization/burectennisclub,The purpose of the Boston University Recreational Tennis Club is to promote the sport of tennis and give students at BU the opportunity to play tennis along with meet other members of our community.
332,Red Cross Volunteers,https://bu.campuslabs.com/engage/organization/red-cross-volunteers,"The American Red Cross is a national, nonprofit organization aimed at the betterment of American life. It participates in disaster services, blood services, citizenship classes, health and safety training, and an assortment of other areas. The American..."
333,Red Star Theater,https://bu.campuslabs.com/engage/organization/red-star-theater,"A Chinese student based theater club in Boston. We are dedicated in creating, directing and performing our own dramas and also promoting cultural exchanges."
334,Reformed University Fellowship at Boston University,https://bu.campuslabs.com/engage/organization/reformed-university-fellowship-at-boston-universit,"RUF is a Christian community at BU open to students from all backgrounds. We believe in genuine friendships, sincere pursuit of spiritual growth, and positive engagement with the campus and world. Join us at one of our regular events!"
335,Rhythm n Beat,https://bu.campuslabs.com/engage/organization/rhythmnbeat,"Rhythm N Beat Step Team is a team that promotes the beauty of Black culture through step dancing. As a group, we work to build a community within a community by connecting people across campus through this art."
336,Rocket Propulsion Group,https://bu.campuslabs.com/engage/organization/rocket-propulsion-group,BURPG is a primarily undergraduate student organization devoted to the testing and development of liquid rockets and rocket engines. We are open to all students who share a love of aerospace and learning.
337,Rotaract,https://bu.campuslabs.com/engage/organization/rotaract,"Rotaract is a service-oriented, professional development organization that welcomes all members of the BU community. We hope to provide members opportunities to connect with the community of Boston through service outreach projects and partnerships."
338,Running Club,https://bu.campuslabs.com/engage/organization/running-club,"The Boston University Running Club lends to a supportive atmosphere where athletes are encouraged to strive for excellence and run for each other. We offer avenues for all types of runners to train, race, and socialize together with fun, active students."
339,Russian Speaking Society,https://bu.campuslabs.com/engage/organization/russian-speaking-society,"Welcome to the Russian Speaking Society!!!We are a student-run organization, which aims to bring together people of Russian speaking backgrounds with those interested in Russian language and culture, and the rest of the BU community. We organize intera..."
340,Sabor Latino,https://bu.campuslabs.com/engage/organization/sabor-latino,"We are a dance group focused on Latin American rhythms as well as a fusion of modern dance styles and traditional Latin dances. In addition to dance, we aim to foster strong ties between our members and the Greater Boston community through social events."
341,Sahelian Student Association,https://bu.campuslabs.com/engage/organization/54-3-47-570-3-550-470,"The Sahelian Student Association (SSA) at Boston University unites Sahelian students, raises awareness about Sahel region issues, and fosters cultural celebration through events like Sudan Night, Cultural Hot-Takes, and Waist-bead Making Night."
342,SAR Student Government,https://bu.campuslabs.com/engage/organization/sar-student-government,"Sargent Student Government is an organization for any and all Sargent College undergraduates. Each class within Sargent has a board of officers. Over the year, SAR StuGov is responsible for organizing events- both recreational and academic."
343,Sargent College Honor Society,https://bu.campuslabs.com/engage/organization/sargent-college-honor-society,Invitation to Juniors and Seniors in Sargent College who have achieved a GPA in the top 10% of their class. Induction is in the Fall each year. We focus on professional development and serve as a valuable connection to Sargent College alumni.
344,Saudi Cultural Club,https://bu.campuslabs.com/engage/organization/saudi-cultural-club,"Our club aims at uniting Saudi and non-Saudi students with a shared interest in Saudi culture and history. Through events, celebrations, and career opportunities, we foster belonging, understanding, and connections."
345,School of Hospitality Administration Student Government,https://bu.campuslabs.com/engage/organization/sha-student-government-association,The School of Hospitality Administration Student Government is a forum for the academic and social interests of the students of SHA. SHAgov coordinates programs and events within the school and represents SHA as part of the larger BU campus.
346,SciBU: Journal of Undergraduate Science and Research,https://bu.campuslabs.com/engage/organization/scibu,SciBU is a life science journal managed by undergraduates that creates a forum for students to discuss and exchange their perspectives on the life sciences and its role in society. SciBU regularly publishes online and produces an annual print edition.
347,SHADES,https://bu.campuslabs.com/engage/organization/shades,SHADES is a community-centered organization for Boston University’s queer and trans students of color.
348,Shakespeare Society,https://bu.campuslabs.com/engage/organization/shakespeare-society,"BUSS strives to bring Shakespeare to a diverse audience through performances that range from mainstage productions to small scene festivals, as well as group activities like our Shakespeare book club, BardRead."
349,Sigma Chi,https://bu.campuslabs.com/engage/organization/sigmachi,"Sigma Chi at Boston University is the Iota Upsilon Chapter of the Sigma Chi International Fraternity governed by the values of Friendship, Justice, and Learning."
350,Sigma Delta Tau,https://bu.campuslabs.com/engage/organization/sigma-delta-tau,A community of driven young women joined together in sisterhood.
351,Sigma Kappa,https://bu.campuslabs.com/engage/organization/sigma-kappa,"At Sigma Kappa, we strive to empower womxn and our community through our core values-- friendship, service, loyalty, and personal growth. If you are interested in Fall Informal Recruitment or have questions about our chapter, please reach out to us!....."
352,Sikh Association at Boston University,https://bu.campuslabs.com/engage/organization/sikh-association,"The Sikh Association at Boston University strives for awareness of Sikhi on campus and the general Boston area. Through workshops, weekly sessions, events, and community building days, we hope to facilitate a safe space for students."
353,Singapore Students Association,https://bu.campuslabs.com/engage/organization/singapore-students-association,"We are a cultural organization dedicated to promoting Singaporean culture in BU. We aim to connect people from all walks of life through our food and events! Also, we hope to make SSA a home away from home for people who identify with Singapore."
354,Sisters United,https://bu.campuslabs.com/engage/organization/sisters-united,"Sisters United strives to empower young Black and Brown women at Boston University through the provision of mentorship opportunities, on-campus engagements, and off-campus excursions."
355,Ski & Snowboard Club,https://bu.campuslabs.com/engage/organization/buskiandboard,The BU Ski & Board Club is a student-run group that organizes ski/snowboard trips for people of all abilities! BUSBC is a great way to meet people who love snow sports. We here at BUSBC believe life is better lived outside!
356,Slippery When Wet,https://bu.campuslabs.com/engage/organization/slippery-when-wet,"Slippery When Wet, lovingly referred to as 'Slipps', is Boston University's best example of teamwork. The group is made up of a rotating cast of Boston University undergraduates that write and perform original sketch comedy shows each semester."
357,Smash Bros Society,https://bu.campuslabs.com/engage/organization/smash-bros-society,PLEASE JOIN: https://discord.gg/vzAJksH9rD We're a fun and easy going club focusing on Nintendo’s Super Smash Bros. franchise. We want BU students to get to know fellow gamers and Smashers on campus. Join our Discord to get involved!
358,Society For Biomaterials,https://bu.campuslabs.com/engage/organization/busfb,"Boston University’s Student Chapter of the Society For Biomaterials promotes student research, education, and professional development in biomaterials and related disciplines while furthering the advancement of biomaterials research and education."
359,Society of Asian Scientists and Engineers,https://bu.campuslabs.com/engage/organization/society-of-asian-scientists-and-engineers,SASE’s mission is to: Prepare Asian heritage scientists and engineers for success in the global business world. Celebrate diversity on campuses and in the workplace. Provide opportunities for members to make contributions to their local communities.
360,Society of Hispanic Professional Engineers,https://bu.campuslabs.com/engage/organization/society-of-hispanic-professional-engineers,"The Society of Hispanic Professional Engineers (SHPE-BostonU) is an organization dedicated to empowering the Hispanic community through STEM access, awareness, support, and development. Come and meet your new familia!"
361,Society of Physics Students,https://bu.campuslabs.com/engage/organization/photon,"Photon is a student-run organization that spreads the love of physics throughout the undergraduate community. We do field trips, demos, and more! You do not need to be a physics major to join - just interest and enthusiasm in learning about physics!"
362,Society of Professional Journalists,https://bu.campuslabs.com/engage/organization/society-of-professional-journalists,"The Boston University Society of Professional Journalists is a student chapter of the national organization, comprised of students within the BU journalism community. BU SPJ hosts educational events, provides a network between students and professional..."
363,Society of Sci-Fi & Horror,https://bu.campuslabs.com/engage/organization/sosh,"SOSH strives to foster a community for students who are enthusiastic about science fiction and horror motifs in books, movies, or any other art forms. We welcome “connoisseurs” and newcomers to the genres alike."
364,Society of Women Engineers,https://bu.campuslabs.com/engage/organization/society-of-women-engineers,"The BU chapter of Society of Women Engineers (SWE) is a student section in National SWE. We're part of region F, the New England Region. Our mission is to empower women to achieve full potential in careers as engineers and leaders."
365,Society of Women in Space Exploration,https://bu.campuslabs.com/engage/organization/swise,The Boston University Chapter of the Society of Women in Space Exploration is dedicated to providing a safe space for women and minorities interested in space-related fields to collaborate over shared interests and experiences.
366,Sojourn Collegiate Ministry,https://bu.campuslabs.com/engage/organization/sojourn-collegiate-ministry,"We are a community focused on questions of life and faith and how it all intersects. We like to have fun, serve those around us and ask good question. Come check us out, we have a place at the table just for you!"
367,Somali Student Association,https://bu.campuslabs.com/engage/organization/ssabu,"To provide connection, community, and resources to the Somali students at BU through culturally-oriented events. Additionally, our goal is to teach non-Somali people about our rich history, food, and language!"
368,Songwriters Circle,https://bu.campuslabs.com/engage/organization/busc,"Our club fosters a community of songwriters, musicians, and lyricists. Whether you're experienced or just starting, we provide a supportive environment for creativity and collaboration. Our mission is to empower students to express themselves with music!"
369,SOON Movement,https://bu.campuslabs.com/engage/organization/soonmvmntbu,"We are an evangelistic Christian ministry on campus that holds weekly large groups. Meetings include fellowship, prayer, and biblical discussions. We welcome anyone interested in getting to know more about Christianity and our purpose."
370,South Asian Student Association,https://bu.campuslabs.com/engage/organization/busasa,"The South Asian Student Association is a cultural organization representing communities from Afghanistan, Pakistan, India, Nepal, Bhutan, Bangladesh, the Maldives & Sri Lanka through a variety of professional, social and service events."
371,South Campus Hall Council,https://bu.campuslabs.com/engage/organization/south-campus-hall-council,South Campus Residence Hall Association is an organization built to direct and guide matters affecting student life in the South Campus residence halls in cooperation with the administration of the college and the apartment/residence hall councils. It ...
372,Spoon University,https://bu.campuslabs.com/engage/organization/spoon-university,"Spoon University is an online food publication open to writers, photographers, and marketers. We aim to cultivate a food community on campus and in the city of Boston, while teaching members real-world skills."
373,Sports Business Club,https://bu.campuslabs.com/engage/organization/busbc,"The Boston University Sports Business Club (BUSBC) is an undergraduate organization for students looking to gain knowledge of and exposure to the business side of the sports industry through office visits, guest speakers, and hands-on experience."
374,Stage Troupe,https://bu.campuslabs.com/engage/organization/stage-troupe,"Stage Troupe is Boston University’s oldest and largest extracurricular performing arts group for non-theatre majors. With 3 mainstage productions per semester, an annual summer show, and up to 10 special projects a year, there is involvement for anyone!"
375,Stand Up Club,https://bu.campuslabs.com/engage/organization/stand-up,BU Stand-up Club is an organization for stand-up comedy and those who love it. We aim to organize shows for campus comedians and invite professional comedians based on members' suggestions.
376,Step About Boston,https://bu.campuslabs.com/engage/organization/step-about-boston,"Step About Boston, BU's only Irish dance group, promotes love of Irish dance, music, and culture, as well as true, life-long friendships. We teach dancers of all levels the basics of Irish dance and use those skills in dances and performances."
377,Stock Trading at Boston University,https://bu.campuslabs.com/engage/organization/stocktradingatbu,"Stock Trading at Boston University (STaBU) are a group of students committed to teaching stock trading techniques to the Boston University community. Covered topics include but are not limited to Stocks, Options, Fixed Income, and trading strategy."
378,Student Activities Office (SAO),https://bu.campuslabs.com/engage/organization/bu-central,"The Student Activities Office is here to serve the student organization experience by supporting officers, leaders, and general members, in their work within their student organization."
379,Student Elections Commission,https://bu.campuslabs.com/engage/organization/student-elections-commission,"The Boston University Student Elections Commission administers fair and engaging elections for the BU Undergraduate Student Government. Our team manages candidates, drafts election rules, hosts election events, and promotes the future of StuGov!"
380,Student Government,https://bu.campuslabs.com/engage/organization/student-government,The Boston University Student Government is your representative governing body at Boston University. The Student Government's primary goal is listening to you and accomplishing or advocating for the changes you want to see on our campus.
